case-891,Confirmation of receipt - Resource26,0
case-891,T02 Check confirmation of receipt - Resource26,0.013145000007417466
case-891,T03 Adjust confirmation of receipt - Resource26,0.175991666648123
case-891,T02 Check confirmation of receipt - Resource26,0.1835816666815016
case-891,T03 Adjust confirmation of receipt - Resource26,0.18948194444179534
case-3756,Confirmation of receipt - Resource02,71.20258305556244
case-3756,T06 Determine necessity of stop advice - Resource02,71.3695930555794
case-3756,T02 Check confirmation of receipt - Resource24,72.1805186110735
case-3756,T07-1 Draft intern advice aspect 1 - Resource24,72.19952694442537
case-3756,T06 Determine necessity of stop advice - Resource02,72.30971249997616
case-3756,T10 Determine necessity to stop indication - Resource02,72.32705472224289
case-3756,T04 Determine confirmation of receipt - Resource19,73.39491083330579
case-3766,Confirmation of receipt - Resource08,75.68865861111217
case-3766,T06 Determine necessity of stop advice - Resource08,75.78225694444444
case-3766,T10 Determine necessity to stop indication - Resource08,75.79544222222434
case-3766,T02 Check confirmation of receipt - Resource24,77.71591277778148
case-3756,T05 Print and send confirmation of receipt - Resource21,77.92533416668574
case-3766,T03 Adjust confirmation of receipt - Resource08,78.02330305556457
case-3766,T02 Check confirmation of receipt - Resource24,78.09979250000583
case-3766,T04 Determine confirmation of receipt - Resource19,95.86952083329359
case-3766,T05 Print and send confirmation of receipt - Resource08,125.9379136111339
case-891,Case Delayed,198.63451269999942
case-3818,Confirmation of receipt - Resource12,384.0632797222005
case-3818,T06 Determine necessity of stop advice - Resource12,385.4107511111101
case-3818,T02 Check confirmation of receipt - Resource26,386.0766563889053
case-3818,T03 Adjust confirmation of receipt - Resource12,387.11350194440945
case-3818,T02 Check confirmation of receipt - Resource24,434.96106555554604
case-416,Confirmation of receipt - Resource21,435.60530055556035
case-416,T02 Check confirmation of receipt - Resource21,435.6194436111053
case-416,T04 Determine confirmation of receipt - Resource21,435.63869416667353
case-416,T05 Print and send confirmation of receipt - Resource21,435.6456655555301
case-416,T06 Determine necessity of stop advice - Resource21,435.6984002777603
case-3818,T07-5 Draft intern advice aspect 5 - Resource12,454.89030083331795
case-3818,T06 Determine necessity of stop advice - Resource12,455.26620833330685
case-3818,T10 Determine necessity to stop indication - Resource12,455.28612805551955
case-3818,T03 Adjust confirmation of receipt - Resource12,456.0406455555227
case-3818,T02 Check confirmation of receipt - Resource24,458.32632277780107
case-3818,T03 Adjust confirmation of receipt - Resource12,458.4531752777762
case-3818,T02 Check confirmation of receipt - Resource24,458.4909855555164
case-3989,Confirmation of receipt - Resource12,480.61229999999205
case-3989,T02 Check confirmation of receipt - Resource12,480.61860777775445
case-3989,T04 Determine confirmation of receipt - Resource12,480.6261252777444
case-3989,T05 Print and send confirmation of receipt - Resource12,480.6321863889032
case-3989,T06 Determine necessity of stop advice - Resource12,480.6404361110926
case-3989,T10 Determine necessity to stop indication - Resource12,480.6493149999778
case-3991,Confirmation of receipt - Resource04,481.9406497222185
case-3991,T06 Determine necessity of stop advice - Resource04,482.05139333334233
case-3991,T02 Check confirmation of receipt - Resource04,482.0554463888539
case-3991,T04 Determine confirmation of receipt - Resource04,482.058113333318
case-3991,T10 Determine necessity to stop indication - Resource04,482.16437583333914
case-3991,T05 Print and send confirmation of receipt - Resource04,482.2343772221936
case-3818,T04 Determine confirmation of receipt - Resource10,484.02043916662535
case-3818,T05 Print and send confirmation of receipt - Resource20,554.5227552777528
case-3984,Confirmation of receipt - Resource09,558.6208286111222
case-3984,T06 Determine necessity of stop advice - Resource09,558.8811599999666
case-3998,Confirmation of receipt - Resource08,575.9599238889085
case-3984,T07-5 Draft intern advice aspect 5 - Resource09,576.300258055528
case-3984,T07-1 Draft intern advice aspect 1 - Resource09,576.3107322221995
case-3984,T08 Draft and send request for advice - Resource09,576.3404513888889
case-3984,T09-1 Process or receive external advice from party 1 - Resource09,576.360416388909
case-3995,Confirmation of receipt - Resource08,576.4073400000069
case-3987,Confirmation of receipt - Resource08,577.4483502777417
case-4010,Confirmation of receipt - Resource08,577.7062938888868
case-3987,T06 Determine necessity of stop advice - Resource08,579.0459899999698
